#Archive/File	Name	Time	Size	Type
Archive	GSE138266_RAW.tar	12/10/2019 09:03:40	264058880	TAR
File	GSM4104122_MS19270_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:33	17265	TSV
File	GSM4104122_MS19270_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:33	264802	TSV
File	GSM4104122_MS19270_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:37	15161857	MTX
File	GSM4104123_MS58637_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:37	10813	TSV
File	GSM4104123_MS58637_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:37	264802	TSV
File	GSM4104123_MS58637_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:39	6365606	MTX
File	GSM4104124_MS71658_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:39	13160	TSV
File	GSM4104124_MS71658_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:39	264802	TSV
File	GSM4104124_MS71658_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:42	9889057	MTX
File	GSM4104125_MS49131_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:42	6795	TSV
File	GSM4104125_MS49131_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:42	264802	TSV
File	GSM4104125_MS49131_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:43	4849487	MTX
File	GSM4104126_MS60249_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:43	30287	TSV
File	GSM4104126_MS60249_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:43	264802	TSV
File	GSM4104126_MS60249_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:50	25715151	MTX
File	GSM4104127_MS74594_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:50	4632	TSV
File	GSM4104127_MS74594_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:50	264802	TSV
File	GSM4104127_MS74594_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:51	3531313	MTX
File	GSM4104128_PST83775_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:53	2280363	TSV
File	GSM4104128_PST83775_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:53	264803	TSV
File	GSM4104128_PST83775_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:54	6075875	MTX
File	GSM4104129_PTC32190_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:54	15051	TSV
File	GSM4104129_PTC32190_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:55	264803	TSV
File	GSM4104129_PTC32190_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:58	11512154	MTX
File	GSM4104130_PST95809_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:58	3735	TSV
File	GSM4104130_PST95809_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:58	264803	TSV
File	GSM4104130_PST95809_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:58	2184100	MTX
File	GSM4104131_PTC41540_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:51:58	5390	TSV
File	GSM4104131_PTC41540_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:51:59	264803	TSV
File	GSM4104131_PTC41540_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:51:59	3550220	MTX
File	GSM4104132_PST45044_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:00	32542	TSV
File	GSM4104132_PST45044_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:52:00	264803	TSV
File	GSM4104132_PST45044_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:52:07	27786977	MTX
File	GSM4104133_PTC85037_CSF_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:07	5394	TSV
File	GSM4104133_PTC85037_CSF_GRCh38_genes.tsv.gz	10/01/2019 13:52:07	264803	TSV
File	GSM4104133_PTC85037_CSF_GRCh38_matrix.mtx.gz	10/01/2019 13:52:08	3219001	MTX
File	GSM4104134_MS19270_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:08	25018	TSV
File	GSM4104134_MS19270_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:08	264804	TSV
File	GSM4104134_MS19270_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:13	19160874	MTX
File	GSM4104135_MS71658_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:13	14878	TSV
File	GSM4104135_MS71658_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:13	264804	TSV
File	GSM4104135_MS71658_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:17	11769477	MTX
File	GSM4104136_MS49131_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:17	21383	TSV
File	GSM4104136_MS49131_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:17	264804	TSV
File	GSM4104136_MS49131_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:22	18368841	MTX
File	GSM4104137_MS60249_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:22	14165	TSV
File	GSM4104137_MS60249_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:22	264804	TSV
File	GSM4104137_MS60249_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:25	10109218	MTX
File	GSM4104138_MS74594_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:25	31278	TSV
File	GSM4104138_MS74594_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:25	264804	TSV
File	GSM4104138_MS74594_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:33	29021971	MTX
File	GSM4104139_PST83775_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:33	15896	TSV
File	GSM4104139_PST83775_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:33	264805	TSV
File	GSM4104139_PST83775_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:36	12486256	MTX
File	GSM4104140_PTC32190_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:36	16804	TSV
File	GSM4104140_PTC32190_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:37	264805	TSV
File	GSM4104140_PTC32190_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:39	10017349	MTX
File	GSM4104141_PST95809_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:39	9826	TSV
File	GSM4104141_PST95809_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:40	264805	TSV
File	GSM4104141_PST95809_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:41	4411446	MTX
File	GSM4104142_PTC41540_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:41	23558	TSV
File	GSM4104142_PTC41540_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:41	264805	TSV
File	GSM4104142_PTC41540_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:46	16054022	MTX
File	GSM4104143_PTC85037_PBMCs_GRCh38_barcodes.tsv.gz	10/01/2019 13:52:46	7284	TSV
File	GSM4104143_PTC85037_PBMCs_GRCh38_genes.tsv.gz	10/01/2019 13:52:46	264805	TSV
File	GSM4104143_PTC85037_PBMCs_GRCh38_matrix.mtx.gz	10/01/2019 13:52:47	4321396	MTX
