location;chrom;start;end;CIRCexplorer2_name;CircBank_Name;S04_P;S05_P;S14_P;S19_P;S16_N;S02_N;S23_N;S07_N
chr18:56601664-56621031;chr18;56601664;56621031;HSA_CIRCpedia_24114;hsa_circZNF532_016;NA;7;1;NA;NA;8;1;6
chr12:102179789-102183835;chr12;102179789;102183835;HSA_CIRCpedia_6301;hsa_circGNPTAB_005;1;1;4;NA;3;1;2;4
chr2:148730307-148733544;chr2;148730307;148733544;HSA_CIRCpedia_38063;hsa_circORC4_008;10;NA;14;7;4;8;8;13
chr7:138203933-138235925;chr7;138203933;138235925;HSA_CIRCpedia_56898;hsa_circTRIM24_013;NA;3;1;6;NA;NA;5;2
chr16:58577510-58587764;chr16;58577510;58587764;hsa_circ_0039650;hsa_circCNOT1_096;NA;NA;1;NA;NA;NA;NA;NA
chr15:80450401-80473501;chr15;80450401;80473501;HSA_CIRCpedia_368061;NA;NA;NA;1;NA;NA;NA;NA;NA
chr1:151060665-151079698;chr1;151060665;151079698;HSA_CIRCpedia_27903;hsa_circGABPB2_004;2;1;3;NA;2;2;4;NA
chr9:130947825-130950213;chr9;130947825;130950213;HSA_CIRCpedia_62938;hsa_circCIZ1_004;NA;NA;1;4;NA;NA;6;NA
chr2:136527338-136530117;chr2;136527338;136530117;HSA_CIRCpedia_69658;NA;NA;NA;1;NA;1;2;NA;NA
chr21:46275124-46281186;chr21;46275124;46281186;HSA_CIRCpedia_35701;hsa_circPTTG1IP_006;68;34;32;60;19;46;66;16
chr4:2659529-2692697;chr4;2659529;2692697;HSA_CIRCpedia_48329;hsa_circFAM193A_017;4;NA;2;1;NA;NA;1;NA
chr17:11958205-11984847;chr17;11958205;11984847;HSA_CIRCpedia_19258;hsa_circMAP2K4_003;13;7;7;9;4;3;18;6
chr16:28970037-28970421;chr16;28970037;28970421;HSA_CIRCpedia_17331;hsa_circNFATC2IP_007;NA;NA;2;NA;NA;1;4;NA
chr7:128231903-128249633;chr7;128231903;128249633;HSA_CIRCpedia_56538;hsa_circTCONS_l2_00026190_001;NA;NA;1;4;NA;NA;NA;NA
chr21:35091101-35107509;chr21;35091101;35107509;HSA_CIRCpedia_35320;hsa_circITSN1_003;NA;NA;1;NA;NA;NA;NA;NA
chr22:28249500-28256229;chr22;28249500;28256229;hsa-circ-PITPNB-overlap.11;NA;NA;NA;1;NA;NA;NA;NA;NA
chr15:89656955-89698765;chr15;89656955;89698765;HSA_CIRCpedia_16025;hsa_circABHD2_008;NA;1;1;5;NA;NA;1;NA
chr19:58130779-58132861;chr19;58130779;58132861;hsa-circ-ZNF134-overlap.1;hsa_circZNF134_001;NA;NA;1;NA;NA;1;NA;NA
chr3:9825711-9829024;chr3;9825711;9829024;HSA_CIRCpedia_103875;NA;NA;NA;1;NA;NA;NA;NA;NA
chr10:52193235-52226692;chr10;52193235;52226692;HSA_CIRCpedia_1810;hsa_circSGMS1_014;7;NA;2;6;NA;NA;7;3
chr11:129637207-129645053;chr11;129637207;129645053;hsa-circ-intronic.800;NA;NA;NA;1;NA;NA;NA;NA;NA
chr10:105750432-105752891;chr10;105750432;105752891;HSA_CIRCpedia_325;hsa_circSLK_002;NA;NA;2;NA;3;NA;NA;NA
chr14:35055435-35078948;chr14;35055435;35078948;HSA_CIRCpedia_11998;hsa_circSNX6_008;4;2;2;3;NA;NA;NA;NA
chr16:16218645-16225792;chr16;16218645;16225792;HSA_CIRCpedia_16634;hsa_circABCC1_091;2;NA;1;NA;NA;NA;NA;NA
chr2:55481176-55481961;chr2;55481176;55481961;HSA_CIRCpedia_41700;hsa_circMTIF2_005;2;3;4;NA;1;NA;6;NA
chr5:122868262-122893258;chr5;122868262;122893258;hsa-circ-CSNK1G3-overlap.3;hsa_circCSNK1G3_001;2;11;8;14;23;7;9;6
chr17:25630392-25638642;chr17;25630392;25638642;HSA_CIRCpedia_19792;hsa_circWSB1_011;NA;6;2;4;NA;NA;1;6
chr18:12814201-12836890;chr18;12814201;12836890;HSA_CIRCpedia_23186;hsa_circPTPN2_005;NA;NA;2;NA;NA;NA;3;1
chr16:11940357-11940700;chr16;11940357;11940700;HSA_CIRCpedia_16348;hsa_circRSL1D1_007;7;8;5;6;NA;4;3;4
chr8:27179918-27183198;chr8;27179918;27183198;HSA_CIRCpedia_88989;hsa_circPTK2B_003;NA;NA;2;NA;NA;NA;NA;1
chr9:100109595-100112837;chr9;100109595;100112837;HSA_CIRCpedia_61961;hsa_circBDAG1_008;6;1;7;2;NA;NA;1;1
chr14:54866611-54878424;chr14;54866611;54878424;HSA_CIRCpedia_12407;NA;NA;NA;4;NA;NA;NA;NA;NA
chr19:3546071-3551192;chr19;3546071;3551192;HSA_CIRCpedia_25645;hsa_circMFSD12_005;NA;NA;1;NA;NA;NA;NA;NA
chr15:68434283-68446033;chr15;68434283;68446033;HSA_CIRCpedia_15420;hsa_circPIAS1_004;4;3;7;3;4;3;3;5
chr20:32138446-32144544;chr20;32138446;32144544;hsa-circ-intronic.6961;hsa_circCBFA2T2_001;1;NA;2;NA;5;NA;NA;1
chr2:148730307-148739650;chr2;148730307;148739650;HSA_CIRCpedia_38064;hsa_circORC4_004;14;8;12;25;16;19;14;18
chr4:140037802-140046483;chr4;140037802;140046483;HSA_CIRCpedia_47469;hsa_circELF2_016;NA;1;3;4;3;NA;NA;NA
chr16:1451568-1453345;chr16;1451568;1453345;HSA_CIRCpedia_156158;hsa_circUNKL_001;NA;NA;1;NA;NA;NA;NA;NA
chr16:69184439-69184807;chr16;69184439;69184807;HSA_CIRCpedia_18353;hsa_circCIRH1A_015;NA;NA;3;NA;NA;NA;NA;NA
chr3:122487547-122496753;chr3;122487547;122496753;HSA_CIRCpedia_105343;hsa_circHSPBAP1_001;NA;NA;1;1;NA;NA;1;NA
chr7:716865-751164;chr7;716865;751164;HSA_CIRCpedia_58660;hsa_circPRKAR1B_005;NA;NA;6;6;NA;1;2;3
chr8:19679949-19681555;chr8;19679949;19681555;HSA_CIRCpedia_60547;hsa_circINTS10_008;NA;NA;1;NA;1;2;3;NA
chr17:40855757-40860101;chr17;40855757;40860101;HSA_CIRCpedia_20811;hsa_circEZH1_023;NA;NA;1;NA;NA;NA;NA;NA
chr3:51454240-51456330;chr3;51454240;51456330;HSA_CIRCpedia_46250;hsa_circVPRBP_028;3;3;3;NA;NA;NA;NA;NA
chr12:46622935-46648719;chr12;46622935;46648719;HSA_CIRCpedia_8495;hsa_circSLC38A1_009;77;15;20;51;23;27;69;21
chr11:10821978-10822194;chr11;10821978;10822194;HSA_CIRCpedia_3193;hsa_circEIF4G2_024;NA;NA;1;NA;NA;NA;NA;NA
chr2:24786772-24807429;chr2;24786772;24807429;hsa_circ_0000983;hsa_circNCOA1_016;2;4;4;5;NA;4;NA;1
chr1:58992932-59000003;chr1;58992932;59000003;HSA_CIRCpedia_32524;hsa_circOMA1_012;2;NA;5;NA;NA;NA;2;3
chr17:3988963-3989949;chr17;3988963;3989949;HSA_CIRCpedia_20651;hsa_circZZEF1_018;3;NA;4;NA;1;NA;4;5
chr10:14572330-14595386;chr10;14572330;14595386;HSA_CIRCpedia_1077;NA;NA;NA;1;NA;NA;NA;NA;NA
chr4:38037208-38055959;chr4;38037208;38055959;HSA_CIRCpedia_48473;hsa_circTBC1D1_015;NA;2;4;7;1;1;4;NA
chr15:50866470-50873105;chr15;50866470;50873105;HSA_CIRCpedia_162333;hsa_circTRPM7_062;NA;NA;1;NA;NA;NA;NA;NA
chr10:69647174-69651312;chr10;69647174;69651312;HSA_CIRCpedia_1965;hsa_circSIRT1_002;5;NA;2;NA;NA;NA;6;NA
chr16:138696-143323;chr16;138696;143323;HSA_CIRCpedia_16391;NA;NA;NA;1;NA;NA;NA;NA;NA
chr8:17820609-17851128;chr8;17820609;17851128;HSA_CIRCpedia_125776;hsa_circPCM1_029;NA;NA;1;NA;NA;NA;NA;NA
chr2:136402948-136437894;chr2;136402948;136437894;HSA_CIRCpedia_37972;hsa_circR3HDM1_041;NA;NA;2;NA;NA;NA;NA;NA
chr1:174973749-174976333;chr1;174973749;174976333;HSA_CIRCpedia_113929;NA;NA;NA;1;NA;NA;NA;NA;NA
chr4:103635594-103651893;chr4;103635594;103651893;hsa-circ-MANBA-overlap.6;hsa_circMANBA_008;6;3;5;2;3;NA;5;1
chr3:47676679-47680270;chr3;47676679;47680270;HSA_CIRCpedia_114202;hsa_circSMARCC1_119;1;3;4;3;4;NA;5;1
chr7:155499553-155511137;chr7;155499553;155511137;HSA_CIRCpedia_57345;hsa_circRBM33_027;11;7;7;23;5;NA;14;9
chr22:47370185-47393605;chr22;47370185;47393605;HSA_CIRCpedia_37113;hsa_circTBC1D22A_024;3;NA;3;NA;NA;4;5;1
chr4:42626552-42629126;chr4;42626552;42629126;HSA_CIRCpedia_48696;hsa_circATP8A1_004;3;1;1;4;NA;NA;NA;3
chr3:122255014-122264336;chr3;122255014;122264336;HSA_CIRCpedia_371539;NA;NA;NA;5;1;NA;NA;NA;NA
chr14:64653141-64656955;chr14;64653141;64656955;HSA_CIRCpedia_117464;NA;NA;NA;2;NA;NA;NA;NA;NA
chr2:215617170-215661841;chr2;215617170;215661841;HSA_CIRCpedia_39561;hsa_circBARD1_004;3;NA;3;5;NA;3;3;8
chr6:4891946-4892613;chr6;4891946;4892613;HSA_CIRCpedia_55226;hsa_circCDYL_005;64;93;74;116;41;57;75;49
chr4:120460114-120488299;chr4;120460114;120488299;HSA_CIRCpedia_47278;hsa_circPDE5A_013;NA;NA;1;2;NA;NA;NA;NA
chr13:20315704-20333558;chr13;20315704;20333558;HSA_CIRCpedia_10244;hsa_circPSPC1_015;NA;2;1;NA;1;2;NA;2
chr11:77090285-77091039;chr11;77090285;77091039;HSA_CIRCpedia_5700;hsa_circPAK1_009;NA;5;5;6;NA;NA;8;3
chr20:5540585-5545724;chr20;5540585;5545724;HSA_CIRCpedia_95422;NA;NA;NA;1;1;NA;NA;1;NA
chr2:120885263-120932580;chr2;120885263;120932580;hsa_circ_0008278;hsa_circEPB41L5_037;1;NA;4;3;NA;NA;NA;2
chr3:25792588-25820179;chr3;25792588;25820179;HSA_CIRCpedia_45211;hsa_circNGLY1_003;NA;3;1;1;NA;2;NA;1
chr10:102003454-102010089;chr10;102003454;102010089;HSA_CIRCpedia_60;hsa_circCWF19L1_008;NA;1;5;3;6;NA;2;NA
chr8:52744003-52773806;chr8;52744003;52773806;HSA_CIRCpedia_61335;hsa_circPCMTD1_009;NA;NA;1;NA;NA;3;2;NA
chr5:176477751-176491602;chr5;176477751;176491602;HSA_CIRCpedia_102327;hsa_circZNF346_009;NA;1;6;NA;1;NA;1;NA
chr7:24659670-24708279;chr7;24659670;24708279;HSA_CIRCpedia_57706;hsa_circMPP6_007;7;NA;3;8;5;6;8;NA
chr13:41207283-41219635;chr13;41207283;41219635;hsa_circ_0000476;hsa_circFOXO1_001;NA;NA;1;1;NA;NA;1;NA
chr4:102014932-102030235;chr4;102014932;102030235;HSA_CIRCpedia_46977;hsa_circPPP3CA_007;NA;1;1;1;NA;NA;NA;1
chr13:77791974-77818086;chr13;77791974;77818086;HSA_CIRCpedia_11134;hsa_circMYCBP2_036;4;3;6;2;6;4;8;5
chr18:10534462-10550251;chr18;10534462;10550251;hsa_circ_0004922;hsa_circNAPG_004;5;4;4;NA;NA;9;3;6
chr8:71126137-71128999;chr8;71126137;71128999;HSA_CIRCpedia_61633;hsa_circNCOA2_006;18;33;13;24;17;10;32;13
chr2:231305190-231314970;chr2;231305190;231314970;HSA_CIRCpedia_93834;hsa_circSP100_004;4;6;12;10;4;14;15;NA
chr11:125472197-125474142;chr11;125472197;125474142;HSA_CIRCpedia_3623;hsa_circSTT3A_009;NA;1;2;1;NA;NA;NA;1
chr12:110463546-110468563;chr12;110463546;110468563;HSA_CIRCpedia_6596;hsa_circANKRD13A_017;1;NA;2;2;NA;NA;NA;NA
chr12:122973932-122977336;chr12;122973932;122977336;HSA_CIRCpedia_7316;hsa_circZCCHC8_004;3;NA;1;2;NA;NA;2;NA
chr6:159146534-159166690;chr6;159146534;159166690;HSA_CIRCpedia_359912;NA;1;NA;2;NA;NA;NA;NA;NA
chr1:109200072-109202584;chr1;109200072;109202584;HSA_CIRCpedia_27156;hsa_circHENMT1_002;1;NA;1;NA;NA;NA;2;1
chr3:50289531-50295146;chr3;50289531;50295146;HSA_CIRCpedia_46217;hsa_circGNAI2_006;NA;NA;3;NA;NA;NA;NA;NA
chr17:40133872-40134419;chr17;40133872;40134419;HSA_CIRCpedia_78655;hsa_circDNAJC7_010;NA;2;2;4;NA;2;NA;NA
chrX:48433555-48435497;chrX;48433555;48435497;HSA_CIRCpedia_65965;hsa_circRBM3_005;NA;NA;1;3;NA;3;2;NA
chr1:62365254-62367131;chr1;62365254;62367131;HSA_CIRCpedia_32624;hsa_circINADL_024;7;NA;6;NA;3;NA;6;1
chr2:136620176-136622733;chr2;136620176;136622733;HSA_CIRCpedia_38000;hsa_circMCM6_006;NA;6;2;1;2;10;8;1
chr9:88284399-88327481;chr9;88284399;88327481;HSA_CIRCpedia_64576;hsa_circAGTPBP1_006;39;26;22;55;23;12;48;26
chr12:124904502-124934413;chr12;124904502;124934413;HSA_CIRCpedia_7562;hsa_circNCOR2_021;NA;NA;2;NA;NA;3;3;NA
chr8:26248758-26265892;chr8;26248758;26265892;HSA_CIRCpedia_60721;hsa_circBNIP3L_003;NA;NA;1;NA;2;2;NA;NA
chr19:48922490-48925202;chr19;48922490;48925202;HSA_CIRCpedia_26355;NA;NA;NA;1;NA;NA;NA;NA;NA
chr10:31661946-31676727;chr10;31661946;31676727;HSA_CIRCpedia_1450;hsa_circZEB1_014;4;NA;3;6;3;NA;3;3
chr14:51710573-51713938;chr14;51710573;51713938;HSA_CIRCpedia_12332;hsa_circTMX1_003;1;2;1;4;NA;5;NA;NA
chr10:120801505-120803654;chr10;120801505;120803654;HSA_CIRCpedia_77063;NA;2;4;6;10;1;NA;NA;1
chr9:77611362-77632364;chr9;77611362;77632364;HSA_CIRCpedia_64423;hsa_circC9orf41_005;9;4;9;7;10;NA;21;8
chr17:57941024-57944110;chr17;57941024;57944110;HSA_CIRCpedia_21679;NA;NA;NA;3;NA;NA;NA;NA;NA
chr7:128655032-128658211;chr7;128655032;128658211;HSA_CIRCpedia_56602;hsa_circTNPO3_005;27;23;27;36;22;22;21;11
chr1:54284643-54298264;chr1;54284643;54298264;HSA_CIRCpedia_32454;hsa_circTMEM48_012;NA;6;2;3;NA;NA;3;1
chr1:12359258-12364785;chr1;12359258;12364785;HSA_CIRCpedia_27605;hsa_circVPS13D_030;NA;NA;2;NA;NA;1;NA;NA
chr1:28116072-28120143;chr1;28116072;28120143;HSA_CIRCpedia_31166;hsa_circSTX12_002;2;4;3;6;8;4;5;2
chr22:20918736-20922918;chr22;20918736;20922918;HSA_CIRCpedia_35998;NA;NA;NA;2;NA;NA;NA;NA;NA
